[2026-09-25T16:50:59.671Z] !! poll start: /home/sahur/orca/workspaces/RouteLoom/hil-bench/host/target/debug/routeloomctl --socket /tmp/routeloom-hil-2026-09-26.sock deliveries every 0.5s
[2026-09-25T16:51:39.687Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:40.186Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:40.687Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:41.187Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:41.687Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:42.187Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:42.687Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:43.188Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:43.688Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:44.188Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:44.688Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:45.188Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:45.688Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:46.188Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:46.689Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:47.189Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:47.689Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:48.189Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:48.689Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:49.190Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:49.690Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:50.190Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:50.690Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:51.190Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:51.690Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:52.190Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:52.691Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:53.191Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:53.691Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:54.191Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:54.692Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:55.192Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:55.692Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:56.192Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:56.692Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:57.192Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
